!  
! R    D    M    P
201
130.42500000000004 5304.606504765067 4778971880493.967 -37103961060.62862
131.91250000000002 5070.660620433008 4780639894870.386 -36690703043.74523
133.40000000000003 4849.470705867347 4782271123199.492 -36286521820.3765
134.88750000000005 4640.211159202865 4783866769124.013 -35891121629.40875
136.37500000000003 4442.118052760184 4785427984341.862 -35504219419.75561
137.86250000000004 4254.483923417316 4786955871378.427 -35125544174.94283
139.35000000000002 4076.6530528615767 4788451486183.183 -34754836280.30587
140.83750000000003 3908.0171870686822 4789915840563.491 -34391846929.695404
142.32500000000005 3748.011650058162 4791349904467.355 -34036337568.845055
143.81250000000003 3596.111811983038 4792754608125.972 -33688079372.782764
145.30000000000004 3451.829876017997 4794130844066.015 -33346852754.883747
146.78750000000002 3314.7119523915185 4795479469000.799 -33012446905.35188
148.27500000000003 3184.3353913306355 4796801305608.747 -32684659357.090572
149.76250000000005 3060.306349710562 4798097144206.924 -32363295577.08832
151.25000000000003 2942.257568874844 4799367744326.776 -32048168581.583954
152.73750000000004 2829.8463434590008 4800613836198.688 -31739098573.414154
154.22500000000002 2722.752663149101 4801836122151.462 -31435912600.06545
155.71250000000003 2620.677511169172 4803035277932.331 -31138444231.0648
157.20000000000005 2523.34130494647 4804211953952.748 -30846533253.445087
158.68750000000003 2430.482465875889 4805366776464.758 -30560025384.114544
160.17500000000004 2341.8561064161418 4806500348672.421 -30278771998.045918
161.66250000000002 2257.232823919534 4807613251782.451 -30002629871.279938
163.15000000000003 2176.3975916406644 4808706045997.895 -29731460937.808277
164.63750000000005 2099.148738301978 4809779271458.428 -29465132059.471615
166.12500000000003 2025.2970084280544 4810833449130.585 -29203514808.065006
167.61250000000004 1954.6646964074293 4811869081651.013 -28946485258.90296
169.10000000000002 1887.0848479100976 4812886654125.595 -28693923795.14659
170.58750000000003 1822.4005228893543 4813886634887.141 -28445714922.244415
172.07500000000005 1760.4641149360418 4814869476214.107 -28201747091.88226
173.56250000000003 1701.1367222380002 4815835615012.687 -27961912534.877968
175.05000000000004 1644.287565833782 4816785473464.397 -27726107102.49576
176.53750000000002 1589.7934512425431 4817719459641.228 -27494230115.688957
178.02500000000003 1537.538269906087 4818637968090.182 -27266184221.813835
179.51250000000005 1487.412537198604 4819541380389.018 -27041875258.384754
181.00000000000003 1439.3129640480674 4820430065674.795 -26821212123.471497
182.48750000000004 1393.1420594740348 4821304381146.786 -26604106652.363033
183.97500000000002 1348.8077615824466 4822164672545.191 -26390473500.147892
185.46250000000003 1306.2230947714838 4823011274606.999 -26180230029.88236
186.95000000000005 1265.305851096062 4823844511500.25 -25973296206.037956
188.43750000000003 1225.9782939138881 4824664697237.901 -25769594492.94197
189.92500000000004 1188.1668820952314 4825472136072.398 -25569049757.937023
191.41250000000002 1151.80201322313 4826267122871.978 -25371589179.00853
192.90000000000006 1116.8177843421195 4827049943479.707 -25177142156.640175
194.38750000000007 1083.151768933136 4827820875056.161 -24985640229.673428
195.87500000000006 1050.7448089009954 4828580186406.601 -24797016994.96084
197.36250000000007 1019.5408204599715 4829328138293.467 -24611208030.614685
198.85000000000005 989.4866128933378 4830064983734.961 -24428150822.66467
200.33750000000006 960.5317192451175 4830790968290.41 -24247784694.950172
201.82500000000007 932.6282380775519 4831506330333.117 -24070050742.0802
203.31250000000006 905.7306854964778 4832211301311.317 -23894891765.30729
204.80000000000007 879.7958567096418 4832906105997.84 -23722252211.167812
206.28750000000005 854.7826964404418 4833590962729.051 -23552078112.750034
207.77500000000006 830.6521775721537 4834266083633.606 -23384317033.460712
209.26250000000007 807.3671874459051 4834931674851.519 -23218918013.166336
210.75000000000006 784.892421279779 4835587936744.001 -23055831516.592648
212.23750000000007 763.1942822169268 4836235064094.569 -22895009383.87363
213.72500000000005 742.2407875477339 4836873246301.78 -22736404783.14501
215.21250000000006 722.0014806851709 4837502667564.054 -22579972165.085808
216.70000000000007 702.4473485038297 4838123507056.924 -22425667219.313965
218.18750000000006 683.5507436819416 4838735939103.083 -22273446832.548412
219.67500000000007 665.2853117121794 4839340133335.585 -22123269048.456284
221.16250000000005 647.6259222714519 4839936254854.4795 -21975093029.103966
222.65000000000006 630.5486046623413 4840524464377.236 -21828879017.94052
224.13750000000007 614.0304870595512 4841104918383.194 -21684588304.24067
225.62500000000006 598.0497393138061 4841677769252.357 -21542183188.94224
227.11250000000007 582.5855190832435 4842243165398.752 -21401626951.813015
228.60000000000005 567.6179210785975 4842801251398.627 -21262883819.889206
230.08750000000006 553.1279292234569 4843352168113.702 -21125918937.12617
231.57500000000007 539.0973715447561 4843896052809.704 -20990698335.209343
233.06250000000006 525.5088776214621 4844433039270.39 -20857188905.472687
234.55000000000007 512.3458384312681 4844963257907.257 -20725358371.876102
236.03750000000005 499.5923684460788 4845486835865.132 -20595175264.99613
237.52500000000006 487.2332698372092 4846003897123.822 -20466608896.985863
239.01250000000007 475.25399866063594 4846514562595.985 -20339629337.461086
240.50000000000006 463.64063290133976 4847018950221.397 -20214207390.274036
241.98750000000007 452.3798422638652 4847517175057.763 -20090314571.136723
243.47500000000005 441.4588596037158 4848009349368.212 -19967923086.057316
244.96250000000006 430.86545390114895 4848495582705.643 -19847005810.555885
246.45000000000007 420.5879046854042 4848975981994.006 -19727536269.626526
247.93750000000006 410.6149778233817 4849450651606.704 -19609488618.414566
249.42500000000007 400.9359025923709 4849919693442.184 -19492837623.579937
250.91250000000005 391.540349961608 4850383206996.868 -19377558645.31766
252.40000000000006 382.41841201225407 4850841289435.518 -19263627620.009197
253.88750000000007 373.56058242988047 4851294035659.134 -19151021043.478767
255.37500000000006 364.95773800771326 4851741538370.505 -19039715954.829845
256.86250000000007 356.60112110277936 4852183888137.488 -18929689920.839188
258.3500000000001 348.4823229907236 4852621173454.114 -18820921020.885765
259.8375000000001 340.5932680684342 4853053480799.611 -18713387832.392723
261.32500000000005 332.92619885676766 4853480894695.417 -18607069416.7634
